vcf_label	x	y	z
tsk_233	21.266997522470923	17.422330728959817	-8.0
tsk_234	91.75496449074606	25.11840366532959	6.0
tsk_235	32.3728094695315	84.91863517069238	6.0
tsk_236	46.904886621357235	39.11860886267965	-6.0
tsk_237	64.97942867549628	4.904847603096869	-2.0
tsk_238	66.17951609341141	44.219713969794775	8.0
tsk_239	38.198049024064794	54.01517612123736	0.0
tsk_240	29.510577161898276	27.022845266987655	2.0
tsk_241	32.89145709233978	29.034332537672338	0.0
tsk_242	91.86949662221417	79.07351087669518	-2.0
tsk_243	14.242831167188168	41.27631538800364	-10.0
tsk_244	56.767531739402344	37.552069279730446	-2.0
tsk_245	76.29459493063956	70.27786013119754	2.0
tsk_246	32.3658126734451	89.04348851249881	2.0
tsk_247	32.759561459719876	90.81039469406741	0.0
tsk_248	75.32677356255766	97.91670657849353	10.0
tsk_249	4.925975355397843	9.303567729893219	-6.0
tsk_250	25.30030734829792	26.69618302178103	0.0
tsk_251	15.488448990713149	52.42441052776451	-6.0
tsk_252	41.59334829595949	53.806685008305976	-4.0
tsk_253	37.71567262835057	45.65787817319065	-8.0
tsk_254	46.73761147788898	98.70169249209378	-6.0
tsk_255	6.411097598532511	9.569566392568788	-4.0
tsk_256	74.50884014484762	17.197983862916097	-2.0
tsk_257	76.23110486945538	72.3151680698942	8.0
tsk_258	42.90906284458002	62.659725873287925	-4.0
tsk_259	47.70893007514402	26.674694374091445	-2.0
tsk_260	50.16884029162454	35.34951773995294	-2.0
tsk_261	81.47080361219524	4.866550190597879	12.0
tsk_262	41.77982023838401	86.94194318388848	0.0
tsk_263	65.3838978040103	33.7430773676427	10.0
tsk_264	30.96645735036579	80.18156159442647	10.0
tsk_265	96.16506181896793	99.20990538477395	-8.0
tsk_266	49.03366272567563	5.227021347338807	4.0
tsk_267	41.854235765044685	5.39102969188617	-4.0
tsk_268	14.306482603397518	25.929165819622664	-4.0
tsk_269	10.231045219842736	31.74164598746273	-4.0
tsk_270	86.28606228632052	28.015326029451415	4.0
tsk_271	55.18227554792238	3.6775079138594653	0.0
tsk_272	23.001395770417158	64.35220700083553	2.0
tsk_273	66.31674710677015	15.898099249405421	4.0
tsk_274	32.28958658214474	43.23472931495807	4.0
tsk_275	1.89086209476552	14.06137050623316	4.0
tsk_276	0.3936080634861015	11.589910836554123	2.0
tsk_277	38.09246788213567	86.42654371654986	6.0
tsk_278	4.649202612297035	73.31158216530282	0.0
tsk_279	72.08521096017623	99.75064150430558	8.0
tsk_280	93.86311237283611	3.9573151391416115	0.0
tsk_281	1.9451170872241532	2.2063522304774295	4.0
tsk_282	8.24020612266771	55.417481264124575	-2.0
tsk_283	96.50849249203588	26.846910570085623	2.0
tsk_284	66.81009745940379	37.834855222948725	8.0
tsk_285	44.85183212918563	0.5018589089504757	-4.0
tsk_286	50.90371671175732	43.637196713375886	0.0
tsk_287	77.50973161890222	25.329097960667227	-6.0
tsk_288	80.09141913505552	68.45422378087956	2.0
tsk_289	10.925718901420412	2.133685311670959	-8.0
tsk_290	16.00209161042121	28.777485213510623	-2.0
tsk_291	48.56255947698341	55.28618043233134	0.0
tsk_292	36.85983439376447	6.712578086491339	0.0
tsk_293	33.63536549180929	5.70326583139892	0.0
tsk_294	57.44232716658443	69.68613239016169	0.0
tsk_295	57.743432285251096	27.148611363578286	6.0
tsk_296	86.39807434552382	64.99169362119304	2.0
tsk_297	70.65316015623921	91.93087122716325	2.0
tsk_298	76.76200492165107	68.58113470098552	-4.0
tsk_299	27.552459512801278	59.477189987778644	-2.0
tsk_300	25.06436364547626	8.03056074952007	0.0
tsk_301	40.96064085798125	45.682959556009614	-14.0
tsk_302	6.913929132672354	45.89958427074659	4.0
tsk_303	11.604603882415683	37.922680543426246	-8.0
tsk_304	77.69524612380287	19.681526728031127	2.0
tsk_305	97.04114338894479	91.8955366519515	8.0
tsk_306	9.813038581230884	67.93551358468984	2.0
tsk_307	49.568772813608604	99.62248433639158	2.0
tsk_308	20.35405427852116	16.56685666824133	-6.0
tsk_309	48.465228137037975	44.60169584747939	-4.0
tsk_310	62.74983785839528	49.37620838104102	2.0
tsk_311	9.946219262408379	63.35513926257144	0.0
tsk_312	7.182921470008529	58.29297997390904	-2.0
tsk_313	81.0774329887663	65.37996690129599	-2.0
tsk_314	77.1603456829542	3.9730585838623487	10.0
tsk_315	68.91653967379384	49.83563805400027	6.0
tsk_316	39.314097129894826	74.8539979523728	6.0
tsk_317	38.97951354613774	84.60528460502108	2.0
tsk_318	9.777618030403687	42.173033396942635	-6.0
tsk_319	74.6542988795853	8.621147340199943	6.0
tsk_320	44.625698325212944	64.31539369328878	-4.0
tsk_321	84.5266535916827	1.1740670876285964	10.0
tsk_322	44.74285797564416	54.3197643760952	-2.0
tsk_323	92.19987799456271	43.60443354565679	4.0
tsk_324	71.42700239153149	16.12873953276479	2.0
tsk_325	84.6859391903099	50.06362261344962	6.0
tsk_326	9.907151441512118	16.558539956886847	-2.0
tsk_327	23.866963293942195	59.832180826051356	0.0
tsk_328	51.29097754546661	83.72612294300853	2.0
tsk_329	54.08124554702787	50.42722329829477	2.0
tsk_330	42.39293403073604	79.05951405665532	10.0
tsk_331	12.141495813620342	28.29069203038232	-4.0
tsk_332	10.529806895048186	11.993735351578396	-6.0
tsk_333	31.00400896499173	99.1453856524778	-2.0
tsk_334	81.63864556345173	53.59890653300665	2.0
