Bₕ,Bₚ,LAₕ,LAₚ
0.005,0.087,5462.153358639224,-95041.46844032248
0.005,0.089,5585.99281354898,-99430.67208117184
0.005,0.091,5709.4208494732475,-103911.4594604131
0.005,0.093,5832.439520555975,-108483.37508234112
0.005,0.095,5955.050867243386,-113145.96647762433
0.005,0.097,6077.256916398221,-117898.78417812548
0.005,0.099,6199.059681412848,-122741.38169197438
0.007,0.001,-596.9614299464378,85.28020427806254
0.007,0.003,-394.3716114695663,169.0164049155284
0.007,0.005,-192.5110706848492,137.50790763203514
0.007,0.007,8.624169975831826,-8.624169975831826
0.007,0.009,209.03801138623442,-268.7631574965871
0.007,0.011,408.7343580874505,-642.2968484231365
0.007,0.013,607.7168338433712,-1128.6169771376894
0.007,0.015,805.9896226639854,-1727.1206199942544
0.007,0.017,1003.5563719563073,-2437.2083318938894
0.007,0.019,1200.4208959205755,-3258.285288927276
0.007,0.021,1396.5869310232413,-4189.760793069724
0.007,0.023,1592.058202760153,-5231.048380497646
0.007,0.025,1786.8384099488367,-6381.565749817274
0.007,0.027,1980.9312252078114,-7640.734725801558
0.007,0.029,2174.3402952228266,-9007.981223065997
0.007,0.031,2367.069240721921,-10482.735208911363
0.007,0.033,2559.1216568206046,-12064.430667868564
0.007,0.035,2750.5011132487116,-13752.505566243559
0.007,0.037,2941.2111545747875,-15546.401817038162
0.007,0.039,3131.2553004281754,-17445.56524524269
0.007,0.041,3320.6370457187304,-19449.44555349542
0.007,0.043,3509.3598608541447,-21557.49628810403
0.007,0.045,3697.4271919550315,-23769.174805425202
0.007,0.047,3884.8424610677725,-26083.9422385979
0.007,0.049,4071.6090663749987,-28501.263464624994
0.007,0.051,4257.730382403997,-31020.60707180055
0.007,0.053,4443.209760232909,-33641.44532747773
0.007,0.055,4628.050527694641,-36363.25414617218
0.007,0.057,4812.25598957877,-39185.513057998556
0.007,0.059,4995.82942783141,-42107.70517743617
0.007,0.061,5178.7741017526805,-45129.31717241622
0.007,0.063,5361.093248192557,-48249.839233733015
0.007,0.065,5542.790081744377,-51468.76504476922
0.007,0.067,5723.867794936371,-54785.59175153384
0.007,0.069,5904.329558421381,-58199.81993301076
0.007,0.071,6084.178521164425,-61710.95357181058
0.007,0.073,6263.4178106284835,-65318.50002512561
0.007,0.075,6442.050532958258,-69021.96999598134
0.007,0.077,6620.079773162114,-72820.87750478326
0.007,0.079,6797.5085952921245,-76714.73986115398
0.007,0.081,6974.340042622296,-80703.07763605799
0.007,0.083,7150.57713782491,-84785.41463420965
0.007,0.085,7326.222883145183,-88961.27786676295
0.007,0.087,7501.280260574036,-93230.1975242773
0.007,0.089,7675.752246120256,-97591.70712924325
0.007,0.091,7849.641754681165,-102045.34281085515
0.007,0.093,8022.95172153104,-106590.64430034095
0.007,0.095,8195.685049336742,-111227.15424099863
0.007,0.097,8367.84462134892,-115954.41832440648
0.007,0.099,8539.433301564564,-120771.98526498454
0.009,0.001,-1025.2644100378752,113.91826778198616
0.009,0.003,-762.9472678858675,254.31575596195586
0.009,0.005,-501.5793484338848,278.65519357438046
0.009,0.007,-241.15548874328832,187.5653801336687
0.009,0.009,18.32950411586377,-18.32950411586377
0.009,0.011,276.88062822550205,-338.409656720058
0.009,0.013,534.5030028808566,-772.0598930501262
0.009,0.015,791.2016101692303,-1318.6693502820506
0.009,0.017,1046.9814169064725,-1977.6315652677818
0.009,0.019,1301.8469221282603,-2748.3435022707718
0.009,0.021,1555.8038399950276,-3630.208959988398
0.009,0.023,1808.856649442676,-4622.633659686839
0.009,0.025,2061.0102537385424,-5725.028482607064
0.009,0.027,2312.2694253734685,-6936.808276120406
0.009,0.029,2562.638933304652,-8257.3921184261
0.009,0.031,2812.1235125243297,-9686.203209806026
0.009,0.033,3060.7278639603537,-11222.668834521299
0.009,0.035,3308.4566558959873,-12866.220328484398
0.009,0.037,3555.314523266743,-14616.29304009661
0.009,0.039,3801.30606820205,-16472.326295542218
0.009,0.041,4046.4358603486985,-18433.76336381074
0.009,0.043,4290.708437157887,-20500.051421976572
0.009,0.045,4534.128304169204,-22670.64152084602
0.009,0.047,4776.699935291533,-24944.988550966893
0.009,0.049,5018.427773081157,-27322.551208997418
0.009,0.051,5259.316229016803,-29802.79196442855
0.009,0.053,5499.36968377172,-32385.17702665568
0.009,0.055,5738.592487483099,-35069.17631239672
0.009,0.057,5976.988960018467,-37854.263413450295
0.009,0.059,6214.56339123937,-40739.91556479142
0.009,0.061,6451.3200412623855,-43725.61361300062
0.009,0.063,6687.263140717216,-46810.84198502051
0.009,0.065,6922.396891002174,-49995.08865723793
0.009,0.067,7156.725464537113,-53277.845124887404
0.009,0.069,7390.253005013598,-56658.60637177093
0.009,0.071,7622.983627642468,-60136.870840290576
0.009,0.073,7854.921419399028,-63712.140401792116
0.009,0.075,8086.070439265363,-67383.92032721137
0.009,0.077,8316.434718470577,-71151.71925802606
